cluster	assigned_broad_compartment	assigned_signature_score	assigned_mean_expression	assigned_mean_detection_fraction	second_broad_compartment	second_signature_score	second_mean_expression	second_mean_detection_fraction	signature_score_margin	cells	samples	subjects	maximum_sample	maximum_sample_cells	maximum_subject	maximum_subject_cells	maximum_sample_fraction	maximum_subject_fraction	top10_markers	top50_markers	positive_marker_evidence	negative_or_conflicting_marker_evidence	assigned_marker_positive_fraction	assigned_marker_coexpression_fraction_ge_2	second_marker_positive_fraction	second_marker_coexpression_fraction_ge_2	annotation_method
0	Epithelial	0.588895891699583	1.27573852296172	0.733806078147612	Fibroblast	-0.227514806763384	0.0133743129563331	0.0124023154848046	0.816410698462967	17275	40	19	GSM6213989	1984	P31	2547	0.114848046309696	0.147438494934877	MT-CO2;MT-CO3;MT-CYB;MT-ND4;MT-ND1;MT-ATP6;MT-CO1;MT-ND2;MT-ND3;MT-ND5	MT-CO2;MT-CO3;MT-CYB;MT-ND4;MT-ND1;MT-ATP6;MT-CO1;MT-ND2;MT-ND3;MT-ND5;ELF3;PIGR;MT-ND4L;MUC4;KLF5;LGALS4;TSPAN8;CD24;EPCAM;RNF43;LLGL2;ABCC3;FAM84A;SLC12A2;MLXIP;KRT18;KRT8;HMGCS2;ADH1C;SELENBP1;PCK1;FRYL;DSP;SOX9;CDH17;ATP10B;ATP1B1;OLFM4;AC103702.2;ATP2C2;ZKSCAN1;MIR194-2HG;NXPE4;AGR2;MGST1;TAF1D;SLC25A37;FAM3D;SATB2;MUC20-OT1	CD24;EPCAM		0.890882778581766	0.576729377713459	0.0465412445730825	0.00289435600578871	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
1	B	1.9256309134726	1.19024234734052	0.504599882222077	Fibroblast	-0.189358101232914	0.0345033080314566	0.0208565072302558	2.11498901470552	15283	40	19	GSM6213962	2426	P32	3245	0.158738467578355	0.212327422626448	CD74;HLA-DRA;MS4A1;CD37;CD79A;HLA-DPB1;HLA-DPA1;HLA-DQB1;RPS23;HLA-DRB1	CD74;HLA-DRA;MS4A1;CD37;CD79A;HLA-DPB1;HLA-DPA1;HLA-DQB1;RPS23;HLA-DRB1;HLA-DQA1;RPL30;RPS8;RPL11;RPS27A;RPL18A;CD52;RPS3A;RPS27;RPL32;RPL13;RPL23A;RPL9;RPL10;RPL19;RPS11;BANK1;RPL39;FAU;RPL18;RPL13A;RPL28;RPS12;RPL21;RPS25;RPS14;LTB;CD79B;RPS13;IGKC;RPLP2;RPS15A;RPS5;RPS16;RPS19;VPREB3;RPS7;RPLP1;RPL34;RPL29	MS4A1;CD79A;CD79B		0.981678989727148	0.866518353726363	0.0786494798141726	0.00464568474775895	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
2	T/I/NK	2.39609016447993	1.62181154508824	0.679533508541393	Fibroblast	-0.16673101218798	0.0503262194239867	0.0300180683311432	2.56282117666791	12176	40	19	GSM6213961	1457	P15	1942	0.119661629434954	0.159494086727989	CCL5;NKG7;IL32;B2M;GZMA;TMSB4X;CD3D;HLA-C;EVL;PTPRC	CCL5;NKG7;IL32;B2M;GZMA;TMSB4X;CD3D;HLA-C;EVL;PTPRC;SH3BGRL3;HCST;TRAC;CD7;SRGN;HLA-A;CORO1A;CST7;ACTB;CD2;CD52;HLA-B;TRBC2;S100A4;CD3E;RPS27A;RPL28;RPS27;RPS15A;PFN1;RPS19;RPS3;CCL4;RPL10;RARRES3;KLRD1;EIF1;RAC2;CD3G;MYL12A;BTG1;CD8A;ARHGDIB;RPLP1;HLA-E;ALOX5AP;RPL30;CD69;RPS14;RPS29	CD3D;TRAC;CD3E		0.960167542706964	0.860955978975033	0.113666228646518	0.00558475689881735	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
3	Epithelial	1.37461782318609	1.88875378771404	0.889248181083266	Fibroblast	-0.222582072301518	0.0164911940534186	0.0169091888978712	1.59719989548761	11133	40	19	GSM6213989	1167	P31	1489	0.104823497709512	0.133746519356867	TXN;AGR2;TSPAN8;LGALS4;EPCAM;SLC12A2;MGST1;GPX2;KRT18;PIGR	TXN;AGR2;TSPAN8;LGALS4;EPCAM;SLC12A2;MGST1;GPX2;KRT18;PIGR;FAM3D;COX5B;CHCHD10;PHGR1;KRT8;CD9;MLEC;PPP1R1B;C15orf48;CD24;LGALS3;RPLP0;CLDN3;PRDX5;ELF3;UQCRH;COX5A;S100A6;ATP5MC1;S100A10;SPINK1;LCN2;KLF5;ADH1C;ATP5MC3;STARD10;COX4I1;LEFTY1;COX7C;RPL12;COX6A1;MT1E;GSTP1;RPS18;ATP1B1;SPINT2;AGR3;YBX1;ATP5F1D;COX6C	EPCAM;CD24		0.968202640797629	0.810293721368903	0.0649420641336567	0.00251504536063954	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
4	Epithelial	1.21963232367358	1.77446296033847	0.911646373742721	Fibroblast	-0.22697486185421	0.0135122685481752	0.0192165166754897	1.44660718552779	9445	40	19	GSM6213989	1405	P31	1789	0.148755955532028	0.189412387506617	H2AFZ;HMGB2;TUBA1B;STMN1;HMGB1;MKI67;TXN;TUBB4B;HSPD1;TOP2A	H2AFZ;HMGB2;TUBA1B;STMN1;HMGB1;MKI67;TXN;TUBB4B;HSPD1;TOP2A;TUBB;CENPF;AGR2;MGST1;RANBP1;PCLAF;MLEC;KRT18;PTMA;HNRNPAB;HSPE1;TUBA1C;HMGN2;SMC4;SLC12A2;RAN;PCNA;FABP5;UBE2C;PTTG1;CKS2;RRM2;NCL;GAPDH;ASPM;PPIA;DEK;YBX1;SNRPF;RPL22L1;MAD2L1;EPCAM;C1QBP;CYCS;ARL6IP1;ZWINT;CENPW;RAD21;PA2G4;LSM5	EPCAM		0.971307570142933	0.851985177342509	0.0710428798305982	0.00518793012175754	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
5	Epithelial	-0.0468180074223024	0.782354901950544	0.663037590726899	Fibroblast	-0.234409723316775	0.00924060429644038	0.0116455421947785	0.187591715894473	9231	40	19	GSM6213973	553	P27	920	0.0599068356624418	0.0996641750622901	MT-CO3;MT-CO2;MT-CYB;MT-ATP6;MT-ND4;MT-ND1;MT-CO1;MT-ND3;MT-ND2;MT-ND5	MT-CO3;MT-CO2;MT-CYB;MT-ATP6;MT-ND4;MT-ND1;MT-CO1;MT-ND3;MT-ND2;MT-ND5;MT-ND4L;SLC26A2;SELENBP1;MUC4;PCK1;ABCC3;PIGR;PLCE1;MT-ATP8;HMGCS2;AC103702.2;NXPE1;NXPE4;CA1;ELF3;ATP10B;SATB2;LLGL2;FRYL;CA12;ABR;BICDL2;NAALADL2;CYP3A5;ATP2C2;MT-ND6;TLN2;HOXB5;ERN2;MIR194-2HG;LIMK2;SYTL2;CDH17;ZNF91;HSD11B2;CYP4F12;PCLO;NPIPB15;ABCA5;CFTR			0.849203769905752	0.476871411548045	0.0438739031524212	0.00249160437655725	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
6	Endothelial	3.71346341766036	2.26858683576154	0.93362038033728	Fibroblast	-0.172170099924771	0.0438847208070068	0.0423394330821672	3.88563351758513	8361	40	19	GSM6213967	1792	P19	1983	0.214328429613683	0.237172587011123	ACKR1;SPARCL1;VWF;IGFBP7;PECAM1;VIM;IFITM3;A2M;ITM2B;IGFBP4	ACKR1;SPARCL1;VWF;IGFBP7;PECAM1;VIM;IFITM3;A2M;ITM2B;IGFBP4;CLU;CAV1;GNG11;TCF4;EGFL7;TGFBR2;PLVAP;NPDC1;ENG;FKBP1A;CRIP2;TSPAN7;CD93;CAVIN1;TM4SF1;RAMP2;RNASE1;JAM2;CD59;EPAS1;HSPG2;YBX3;ECSCR;NNMT;CAVIN2;IFI27;CLEC14A;HLA-E;CLDN5;NPC2;RAMP3;SPARC;IFITM2;CNN3;SOX18;PALMD;ADGRL4;STOM;CD74;NFIB	VWF;PECAM1		0.984930032292788	0.882310728381773	0.151776103336921	0.0163855998086353	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
7	Epithelial	1.64688922007714	2.09402836215368	0.928356147180711	Myeloid	-0.040902159804449	0.106990695262343	0.123571518272008	1.68779137988159	7963	40	19	GSM6213971	1412	P31	1517	0.177320105487881	0.190506090669346	KRT8;KRT18;S100A6;KRT19;ANXA2;TXN;PERP;GPRC5A;S100A10;EPCAM	KRT8;KRT18;S100A6;KRT19;ANXA2;TXN;PERP;GPRC5A;S100A10;EPCAM;LGALS3;MUC13;S100A14;ATP1B1;AGR2;S100A11;TSPAN8;CD55;LCN2;ASS1;CEACAM5;SPINT2;ANXA4;CLDN4;CYSTM1;CSTB;CD24;DSG2;PHLDA2;GAPDH;CD9;MGST1;MISP;JUP;DSP;KLF5;CEACAM6;MAL2;ACTN4;TSPAN1;PPA1;EZR;ELF3;SERPINB6;MYH14;S100A16;GPX2;LDHA;LMO7;HSP90B1	EPCAM;CD24		0.987818661308552	0.868893633052869	0.240361672736406	0.0067813638076102	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
8	Epithelial	1.52446756428196	2.00341374858763	0.979643600416233	Fibroblast	-0.225483836412421	0.0147553738147299	0.0302094172736733	1.74995140069438	7688	40	19	GSM6213989	470	P31	936	0.0611342351716962	0.121748178980229	AGR2;MGST1;TSPAN8;PPP1R1B;EPCAM;GPX2;LGALS4;SLC12A2;MLEC;FAM3D	AGR2;MGST1;TSPAN8;PPP1R1B;EPCAM;GPX2;LGALS4;SLC12A2;MLEC;FAM3D;TXN;STARD10;KLF5;AGR3;CD9;ATP5MC1;KRTCAP3;COX5A;LEFTY1;FAM84A;ADH1C;CDX1;PIGR;CLDN3;CD24;RAB25;C15orf48;LCN2;DSG2;TMEM238;FAM162A;SPINT2;GOLM1;CLDN7;CHCHD10;DSP;PRDX5;ATP5MC3;LGALS3;KRT18;SUCLG1;CDC42EP5;TMEM141;LGALS3BP;CYB5A;TRIM2;ATP1B1;UQCRH;S100A14;ITM2C	EPCAM;CD24		0.997008324661811	0.962278876170656	0.112773152965661	0.00741415192507804	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
9	Epithelial	0.843315660941079	1.45828067803867	0.870614613558428	Fibroblast	-0.231465513981039	0.0110477187295751	0.0128594038512266	1.07478117492212	7582	40	19	GSM6213962	548	P27	843	0.072276444209971	0.111184384067528	SLC26A3;MT-CO1;SLC26A2;MT-CO2;CEACAM7;FABP1;MT-ND4;MT-CO3;KRT20;MT-ND5	SLC26A3;MT-CO1;SLC26A2;MT-CO2;CEACAM7;FABP1;MT-ND4;MT-CO3;KRT20;MT-ND5;MT-ND1;MS4A12;CA1;CA2;MT-ATP6;CDHR5;MT-ND3;MT-ND2;SLC9A3;CEACAM1;MT-CYB;PLAC8;CKB;MT-ND4L;PHGR1;FXYD3;MGLL;SELENBP1;PIGR;DST;TSPAN1;KRT19;ABCA5;PLS1;PCK1;AQP8;CYP3A5;ETNK1;TMPRSS2;GPA33;SHROOM1;TDP2;MALL;CEACAM5;ABCC3;MUC12;CDH17;SLC20A1;AHCYL2;CD24	CD24		0.973357953046689	0.767871274070166	0.0482722236876814	0.00316539171722501	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
10	Epithelial	0.406129088061172	1.14454657018875	0.718329997140406	Fibroblast	-0.229751152115252	0.0117622091410157	0.0119030597655133	0.635880240176424	6994	40	19	GSM6213989	842	P31	1129	0.120388904775522	0.161424077780955	MT-CO2;MT-ND4;MT-CO3;MT-CYB;MT-ATP6;MKI67;MT-CO1;MT-ND1;CENPF;MT-ND5	MT-CO2;MT-ND4;MT-CO3;MT-CYB;MT-ATP6;MKI67;MT-CO1;MT-ND1;CENPF;MT-ND5;MT-ND2;HMGB2;TOP2A;ASPM;MT-ND3;CDCA7;SMC4;TAF1D;SLC12A2;PCNA;CCDC14;ATAD5;CENPE;RNF43;AGR2;BRCA2;PCLAF;STMN1;BRCA1;KIF20B;MGST1;HELLS;MLEC;ORC6;NSD2;ILF3;SOX9;UBE2C;KNL1;OLFM4;WDR90;REG1A;HSPD1;MLXIP;CTBP2;KLF5;KRT18;TUBB;GTSE1;EPCAM	EPCAM		0.883328567343437	0.553331426937375	0.0453245639119245	0.0020017157563626	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
11	T/I/NK	1.87917633008346	1.33817498635382	0.569021039072563	Fibroblast	-0.143715723418866	0.062475949000408	0.0330613997423787	2.02289205350233	6987	40	19	GSM6213994	1435	P15	1993	0.20538142264205	0.285244024617146	B2M;TRAC;RPS15A;RPS27A;RPL30;RPL32;RPS27;RPLP1;PTPRC;RPL28	B2M;TRAC;RPS15A;RPS27A;RPL30;RPL32;RPS27;RPLP1;PTPRC;RPL28;BTG1;RPL39;RPS12;MALAT1;RPL13;RPL34;TMSB4X;CD3D;RPS29;RPS25;RPL10;RPL11;IL7R;RPS19;RPS14;RPL41;IL32;FYB1;RPS3A;TRBC2;RPS28;TPT1;RPLP2;RPS4X;RPL35A;RPL19;RPS23;RPL9;EVL;RPS3;RPL37;RPS15;RPL23A;RPS13;CD2;RPL21;RPS16;RPS7;LTB;UBA52	TRAC;CD3D		0.936739659367397	0.76041219407471	0.123944468298268	0.0078717618434235	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
12	T/I/NK	2.84015859831665	1.8793936923184	0.768348976765656	B	-0.138433860325408	0.0893923740846488	0.0562855823972919	2.97859245864206	6499	40	19	GSM6213994	607	P32	1080	0.0933989844591476	0.166179412217264	TRAC;CD3D;B2M;IL32;CD2;SRGN;PTPRC;BTG1;S100A4;TRBC2	TRAC;CD3D;B2M;IL32;CD2;SRGN;PTPRC;BTG1;S100A4;TRBC2;HLA-A;RPL10;RPLP1;HLA-C;TMSB4X;RPL28;ARHGDIB;RPS15A;RPS27A;ACTB;CD3E;FYB1;RPS27;EIF1;EEF1A1;RPL30;RPS3;RAC2;RPS4X;PFN1;HLA-B;RPS14;RPL11;RPS3A;CORO1A;RPL13;RPL19;TPT1;CD3G;LTB;RPL21;CD7;RPSA;EEF1D;RPL41;RPS12;RPL9;GMFG;EVL;RPS19	TRAC;CD3D;CD3E		0.99523003539006	0.955223880597015	0.241575627019541	0.036621018618249	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
13	Myeloid	4.23998387636599	1.65901798271462	0.703491078355314	Endothelial	-0.126846734009889	0.151079386066835	0.146547711404189	4.36683061037588	6445	40	19	GSM6213961	2709	P15	2816	0.420325833979829	0.436927851047324	HLA-DRA;CD74;HLA-DPA1;FTL;HLA-DPB1;HLA-DRB1;LYZ;HLA-DQA1;TYROBP;HLA-DQB1	HLA-DRA;CD74;HLA-DPA1;FTL;HLA-DPB1;HLA-DRB1;LYZ;HLA-DQA1;TYROBP;HLA-DQB1;FCER1G;TYMP;AIF1;CST3;C1QA;CTSB;NPC2;C1QB;PSAP;FTH1;MS4A6A;SAT1;C1QC;CTSS;HLA-DMA;SRGN;CD14;CD68;HLA-DMB;GRN;S100A11;ITGB2;CTSC;CYBB;LST1;CYBA;CTSZ;APOE;ZEB2;TMSB4X;FCGR2A;LGALS1;FCGR3A;VIM;ITM2B;MAFB;MS4A7;SPI1;TMSB10;CTSH	CD14;CD68		0.804809930178433	0.602172226532196	0.284096198603569	0.00899922420480993	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
